369,459632,15,2,16,-26,-265,646,-374,-911,1020,-109,0,0,0
370,460881,22,-7,20,-27,-474,617,-147,-1091,764,327,0,0,0
371,462130,27,-15,22,-25,-616,496,102,-1112,394,718,0,0,0
372,463379,29,-20,20,-21,-658,305,340,-963,-35,998,0,0,0
373,464628,31,-22,16,-17,-595,68,525,-663,-457,1120,0,0,0
374,465877,36,-24,8,-12,-440,-185,628,-255,-813,1068,0,0,0
375,467126,46,-22,-3,-11,-221,-411,629,190,-1040,850,0,0,0
376,468375,44,-13,-13,-8,0,-569,542,569,-1111,542,0,0,0
377,469624,26,0,-16,-1,239,-640,375,879,-1015,136,0,0,0
378,470873,11,13,-17,1,452,-613,148,1065,-761,-304,0,0,0
379,472122,2,22,-18,1,596,-496,-98,1092,-398,-694,0,0,0
380,473371,-2,27,-16,0,642,-306,-335,948,29,-977,0,0,0
381,474620,-4,29,-10,-5,588,-72,-523,660,451,-1111,0,0,0
382,475869,-2,28,-4,-12,445,180,-631,265,811,-1076,0,0,0
383,477118,2,22,1,-17,233,404,-637,-171,1041,-870,0,0,0
